X,Y,amenity,name,ele,addr:street,addr:housenumber,addr:postcode,addr:state,addr:city,website,phone,wikidata,wheelchair,operator,opening_hours,wikipedia,addr:country
-73.5990566,40.7306097975452,college,111,,,,,,,,,,,,,,
-73.5908219,40.7298869975452,college,A Building,,,,,,,,,,yes,,,,
-73.7777034,42.6537868975452,college,Albany Medical College,,,,,,,,,,,,,,
-73.964083,40.7671441975452,college,Baker Theatre Building,,East 67th Street,151,10065,NY,New York City,http://www.hunter.cuny.edu/theatre,,,,,,,
-73.906885,42.0216207975452,college,Bard College,54,Campus Road,30,12504,NY,Annandale-on-Hudson,http://www.bard.edu,(845) 758-6822,Q49109,,Bard College,,en:Bard College,
-73.5907012,40.7304357975452,college,B Building,,,,,,,,,,limited,,,,
-73.9461111,40.8333333975452,college,Boricua College,35,Broadway,3755,10032,,New York,http://www.boricuacollege.edu/,+1 212 694-1000,Q2910878,,,,en:Boricua College,
-73.9517073,40.7468009975452,college,Bridgeview School of Fine Arts,,,,,,,,,,,,,,
-76.543207,42.9434118975452,college,Cayuga Community College,,Franklin Street,197,13021,,Auburn,https://www.cayuga-cc.edu/,+1 315 255 1743,Q5055461,,,,en:Cayuga Community College,
-73.590543,40.7309154975452,college,C Building,,,,,,,,,,yes,,,,
-73.5933405,40.7295963975452,college,CCB Building,,,,,,,,,,yes,,,,
-77.6776541,43.0858828975452,college,Center for Imaging Science,,,,,,,http://www.cis.rit.edu/,(585) 475-5944,,,,,,
-77.6771999,43.0836003975452,college,College of Science,,,,,,,,,,,Rochester Institute of Technology,,,
-73.5952858,40.7288741975452,college,College Union,,,,,,,,,,yes,,,,
-73.8177778,42.2177778975452,college,Columbia-Greene Community College,0,,,,,,,,,,,,,
-73.9511523,40.8156511975452,college,CUNY Advanced Science Research Center,,Saint Nicholas Terrace,85,10031,,,http://www.asrc.cuny.edu,212-413-3300,Q30298683,,,24/7,,
-73.5907175,40.7316400975452,college,D Building,,,,,,,,,,yes,,,,
-73.9971892,40.7371874975452,college,DeRose Method Greenwich Village,,6th Avenue,523,10011,,,https://www.derosemethodgreenwich.org/,+1 917 7270233,,,,,,
