X,Y,tourism,name,addr:street,addr:housenumber,addr:postcode,website,addr:city,information,addr:state,operator,phone,description,wikidata,ele,artwork_type,hiking,wheelchair,name:en,internet_access,opening_hours,wikipedia,artist_name,email,addr:country,start_date,amenity,attraction,direction_south,direction_southwest,direction_northeast,direction_southeast,direction_west,direction_north,smoking,board_type,direction_east,internet_access:fee,direction_northwest,ref,rooms
-78.4786063,42.5187538975452,alpine_hut,bus waiting place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9265581,42.0491035975452,alpine_hut,Campbell Mountain Lean-To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.4807735,42.5182002975452,alpine_hut,fishing rest place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.8679679,42.0064263975452,alpine_hut,Pelnor Hollow Lean-To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.7767447,41.9811394975452,alpine_hut,Quick Lake Lean-To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9470502,42.0124131975452,alpine_hut,Trout Pond North Lean-To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9478656,42.0115363975452,alpine_hut,Trout Pond South Lean-To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.4884906,42.5433105975452,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.3332875,42.9707988975452,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9878907,40.6040588975452,apartment,23rd AVe.79th St & 80th St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0064032,40.6347588975452,apartment,AirBnb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9889163,40.7639077975452,apartment,apartamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.859767,40.7598340975452,apartment,Astoria Towers,Astoria Boulevard,110-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0742441,40.6286399975452,apartment,Building,Navy Pier Ct,8,10304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8748461,40.7430615975452,apartment,chokins,43rd Avenue,90-22,11373,,,,,Chokins,+1-347-530-5434,,,,,,,,wlan,24/7,,,je30mols@yahoo.com,,,,,,,,,,,,,,,,,
-79.3936836,42.1589369975452,apartment,Condos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9511544,40.6582433975452,apartment,Cozy Private Room for Eager Travelers,Hawthorne Street,285,11225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.1568079,43.0505757975452,apartment,Creek Commons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8756614,40.7389376975452,apartment,Elm 51 Condominium,51st Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
